model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
56,3,12500,0,-0.3864459908383209,0,0.4420685954842298,-0.00848396683569553,-0.5265055715163071
9,4,16500,1,0.5324888829598133,1,-1.594950319372455,0.4492340083503297,0.4271690065621527
56,4,11000,0,0.2515735270210345,0,-1.4382565566911716,-0.00848396683569553,-0.5265055715163071
72,3,16800,1,0.07225821111573119,1,0.36372171414358806,0.610475567790861,0.4271690065621527
69,1,17300,0,-1.003184722583727,0,0.36372171414358806,-0.31016172320830276,-1.1622886235686134
56,4,13900,1,0.35546327188955523,0,-1.4382565566911716,0.1735629551132917,-0.5265055715163071
9,4,13250,1,2.354600073750183,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
72,4,11750,0,2.282631508052586,1,-1.594950319372455,0.7821198084856202,0.4271690065621527
69,5,10200,0,0.9773650635571219,0,-1.594950319372455,0.2359790426386589,-0.5265055715163071
56,4,12000,0,-0.08492329138413533,0,-1.4382565566911716,-0.00848396683569553,-0.5265055715163071
69,3,16100,0,0.20708141934398003,0,0.36372171414358806,0.1735629551132917,-0.5265055715163071
9,4,16500,1,1.250603173872514,1,0.05033418878102119,0.10594552696081087,0.4271690065621527
45,4,17000,0,0.9236243441934144,1,0.36372171414358806,-0.16972552627622714,0.4271690065621527
69,3,16400,0,-0.11886479835068749,0,-1.4382565566911716,0.1735629551132917,-0.5265055715163071
9,5,15400,0,1.0328567336770407,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
69,3,14500,1,0.08141703045591193,0,0.36372171414358806,0.1735629551132917,-0.5265055715163071
45,4,15700,1,0.18198445850495534,1,0.36372171414358806,-0.11771212000508793,0.4271690065621527
69,6,13900,1,0.2771643457656572,0,-1.4382565566911716,0.048730780062557676,-0.5265055715163071
37,4,19000,1,0.5975434379790383,1,1.225537408890647,-0.4401952388861508,0.4271690065621527
45,6,17000,0,0.43852119237648846,0,0.36372171414358806,-0.3985845138692396,-0.5265055715163071
20,3,17300,1,0.5727607503526669,1,0.36372171414358806,0.610475567790861,0.4271690065621527
37,4,20200,1,-0.02821942458683987,1,1.225537408890647,-0.4401952388861508,0.4271690065621527
20,3,22500,1,-0.12093002231955177,1,0.36372171414358806,0.1735629551132917,2.0166266366929184
9,5,17500,1,1.724257801514214,1,0.4420685954842298,-0.11771212000508793,2.0166266366929184
37,4,20000,1,-0.024852211594126362,1,1.225537408890647,-0.4401952388861508,0.4271690065621527
72,3,18500,1,-0.3108857312818298,1,0.36372171414358806,0.37641523957073453,0.4271690065621527
20,3,19500,1,0.4021552920551826,1,0.36372171414358806,0.3035964707911397,0.4271690065621527
56,2,15800,0,-0.6083228789715229,0,0.36372171414358806,0.048730780062557676,-0.5265055715163071
72,2,17200,1,0.03571272610148059,1,0.36372171414358806,0.7821198084856202,0.4271690065621527
9,5,14000,0,1.653681017186939,1,-1.4382565566911716,0.37641523957073453,0.4271690065621527
56,5,9500,1,1.3653577926641904,1,-1.9083378447350219,1.0785962242311138,-0.20861404549015358
45,3,16500,0,-0.1335009508256822,0,0.05033418878102119,-0.21653759192025235,-0.5265055715163071
45,6,15000,1,0.6665937524162834,1,1.3038842902312888,-0.3985845138692396,0.4271690065621527
45,3,16000,1,1.0388728208906888,0,0.4420685954842298,-0.3985845138692396,-0.5265055715163071
45,4,16900,1,0.7254526355289155,1,0.4420685954842298,-0.21653759192025235,0.4271690065621527
45,6,12300,1,0.8464029262271846,1,1.225537408890647,-0.3985845138692396,0.4271690065621527
56,3,10800,0,0.31896268304854086,0,0.36372171414358806,0.610475567790861,-1.1622886235686134
9,4,19400,1,0.43492949851759405,1,0.05033418878102119,0.1735629551132917,0.4271690065621527
72,3,16000,0,0.21193020605348747,1,0.36372171414358806,0.7821198084856202,0.4271690065621527
69,3,17100,0,0.2335701615533263,1,0.36372171414358806,0.5272541177570386,0.4271690065621527
69,5,11300,0,2.302116447237088,1,-1.594950319372455,0.6936970178246842,0.4271690065621527
45,4,17200,1,0.6851358719628258,1,0.5987623581655133,-0.26855099819139155,0.4271690065621527
45,3,20300,1,0.833517724508401,1,0.36372171414358806,-0.21653759192025235,0.4271690065621527
20,6,13200,1,2.6726445649552826,1,0.05033418878102119,0.1735629551132917,0.4271690065621527
45,4,15200,1,1.544762900915966,0,0.36372171414358806,-0.3985845138692396,-0.5265055715163071
69,1,15700,0,-1.0017929412134052,0,0.36372171414358806,-0.31016172320830276,-1.1622886235686134
9,2,16600,1,-0.06216093155339202,0,0.36372171414358806,-0.26855099819139155,0.10927748053599953
72,3,14400,1,0.3481451956520579,1,0.36372171414358806,0.8757439397736714,0.4271690065621527
20,3,20200,1,-0.5066779427648112,0,0.36372171414358806,-0.11771212000508793,0.4271690065621527
15,3,23700,1,-0.1824826758263547,0,0.36372171414358806,-0.8771078515637201,2.0166266366929184
72,4,12750,0,1.2669004847572474,1,-1.9083378447350219,0.9745694116888354,0.4271690065621527
9,5,13000,1,0.32601138224662113,1,-1.594950319372455,0.610475567790861,0.4271690065621527
45,4,15900,0,0.3442841247537464,0,0.36372171414358806,-0.31016172320830276,-0.5265055715163071
45,4,15000,0,0.6640795667150573,1,-1.4382565566911716,0.2359790426386589,0.4271690065621527
37,5,14700,1,2.924556992983489,1,1.3038842902312888,-0.4401952388861508,0.4271690065621527
69,5,15000,1,1.4343632109281992,0,1.225537408890647,-0.6638528858520496,0.10927748053599953
9,4,16000,1,1.051668230263,1,-1.594950319372455,0.3035964707911397,0.4271690065621527
56,6,11000,0,0.4477249078899054,0,0.05033418878102119,-0.11771212000508793,-0.5265055715163071
69,4,10200,0,1.8868268448024224,1,-1.9083378447350219,1.4322873868748602,-0.20861404549015358
9,4,18500,0,0.43852119237648846,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
56,7,7000,0,2.331298959840605,1,-1.9083378447350219,0.9745694116888354,-0.20861404549015358
69,4,10600,0,0.6059839185474402,1,-1.594950319372455,0.7821198084856202,-0.20861404549015358
69,3,16000,0,0.08559237456687668,1,-1.4382565566911716,0.610475567790861,-0.20861404549015358
45,3,15000,0,0.9228611092483994,1,0.05033418878102119,0.11114686758792487,0.4271690065621527
45,3,14000,0,1.922384614005477,0,0.4420685954842298,-0.21653759192025235,-0.5265055715163071
69,2,18950,0,-0.2851153278442624,0,0.4420685954842298,-0.06569871373394873,-0.36755980850323033
72,4,10200,0,3.2817958434237746,1,-1.594950319372455,0.7821198084856202,0.4271690065621527
56,3,11700,0,-0.22782781079489658,0,0.4420685954842298,0.610475567790861,-1.1622886235686134
69,7,11500,1,1.2166167707327258,0,0.05033418878102119,-0.26855099819139155,0.10927748053599953
56,4,10800,0,-0.27662995110262434,0,-1.9083378447350219,0.610475567790861,-1.1622886235686134
69,4,12500,0,-0.21768127564351988,1,-1.4382565566911716,0.610475567790861,0.4271690065621527
9,4,16600,0,0.38006637482298194,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
69,3,13100,0,0.07284186136780153,1,0.36372171414358806,0.5272541177570386,0.4271690065621527
69,4,8300,0,2.867628645320013,1,-1.594950319372455,0.6936970178246842,0.4271690065621527
69,1,16000,0,-0.8367995045704435,0,0.36372171414358806,-0.31016172320830276,-1.1622886235686134
72,3,16900,0,-0.600870114214317,0,0.36372171414358806,-0.21653759192025235,-0.5265055715163071
37,4,19600,1,0.26302205119626043,1,1.225537408890647,-0.4401952388861508,0.4271690065621527
45,3,21800,1,-0.2255381059598514,0,0.36372171414358806,-0.7886850609027837,0.4271690065621527
9,3,16200,0,-0.07904189269019574,1,0.36372171414358806,0.3035964707911397,0.4271690065621527
20,3,18700,0,-0.1926292109777314,0,0.36372171414358806,-0.31016172320830276,0.4271690065621527
45,4,16100,0,-0.3446476535554372,1,-1.4382565566911716,0.2359790426386589,0.4271690065621527
69,4,11300,0,0.05762205864073648,1,-1.9083378447350219,0.9745694116888354,-0.20861404549015358
69,4,14100,0,-0.6232733046591709,0,-1.594950319372455,0.2359790426386589,-0.5265055715163071
9,4,16600,1,0.8514312976296368,1,0.05033418878102119,0.10594552696081087,0.4271690065621527
56,3,11300,0,0.22378279578783902,0,-1.4382565566911716,-0.00848396683569553,-0.5265055715163071
45,3,15600,0,0.5554308274835014,0,0.05033418878102119,-0.21653759192025235,-0.5265055715163071
56,6,10000,0,0.1787519340319504,0,0.05033418878102119,-0.11771212000508793,-0.5265055715163071
56,4,14500,0,-0.5496435805518355,0,-1.4382565566911716,0.048730780062557676,-0.5265055715163071
45,3,16100,0,-0.28471126228513677,1,0.36372171414358806,0.37641523957073453,0.4271690065621527
56,4,10600,0,0.19832666556292491,0,-1.4382565566911716,-0.00848396683569553,-0.5265055715163071
69,1,25499,2,-0.9133025837648944,0,0.36372171414358806,-0.5962354576995684,-0.36755980850323033
43,1,25499,2,-0.7383421966635005,1,0.36372171414358806,-0.3985845138692396,0.4271690065621527
9,4,15500,1,0.01802363384642563,1,0.05033418878102119,0.048730780062557676,2.0166266366929184
45,5,16200,1,0.25736513336850175,1,0.5987623581655133,-0.21653759192025235,0.4271690065621527
56,3,14000,0,-0.5282281059181776,0,-1.4382565566911716,0.1735629551132917,-0.5265055715163071
9,4,17300,1,0.00352216989113946,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
56,4,10600,0,-0.3939885479419991,1,-1.9083378447350219,1.0785962242311138,-0.20861404549015358
72,2,17500,0,-0.41015117030702397,0,0.36372171414358806,-0.21653759192025235,-0.5265055715163071
72,3,15000,0,-0.42555055772703376,0,0.36372171414358806,-0.16972552627622714,-0.5265055715163071
72,1,25499,2,-0.6888217175839938,0,0.36372171414358806,-0.8771078515637201,0.4271690065621527
72,1,25000,0,-0.8684064105287143,0,0.36372171414358806,-0.8771078515637201,0.4271690065621527
43,1,31000,2,-0.9014499940305428,0,0.36372171414358806,-1.1631815860549857,0.4271690065621527
45,1,28000,0,-0.9133025837648944,1,0.36372171414358806,-0.6638528858520496,0.4271690065621527
45,1,28000,0,-0.9133025837648944,0,0.36372171414358806,-0.6950609296147329,-0.36755980850323033
43,1,21499,0,-0.9707247893339687,1,0.36372171414358806,-0.31016172320830276,-0.20861404549015358
43,1,26000,2,-0.9133025837648944,0,0.36372171414358806,-0.6950609296147329,-0.36755980850323033
37,4,30000,2,1.136162828293491,1,1.7739655782751391,-0.6950609296147329,2.0166266366929184
72,3,17000,0,-0.4612879116230331,0,0.36372171414358806,-0.21653759192025235,-0.5265055715163071
72,3,14500,0,-0.05614484433974389,0,0.36372171414358806,-0.16972552627622714,-0.5265055715163071
45,3,17500,1,0.28461711052286304,1,0.5987623581655133,-0.26855099819139155,0.4271690065621527
56,4,10500,0,-0.27254439933813196,0,-1.9083378447350219,0.610475567790861,-1.1622886235686134
43,3,14800,1,-0.02821942458683987,1,0.36372171414358806,0.6936970178246842,-0.20861404549015358
9,4,12000,1,2.1087037329356244,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
9,2,22000,1,0.23051722177326603,1,0.36372171414358806,0.3035964707911397,0.4271690065621527
37,4,17800,1,1.6256209089143265,1,1.225537408890647,-0.4401952388861508,0.4271690065621527
9,3,19800,1,0.7959396275097183,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
70,6,19500,1,1.411151889365094,1,1.7739655782751391,-0.5598260733097712,2.0166266366929184
56,4,9800,0,0.544116991827984,1,-1.9083378447350219,1.0785962242311138,-0.20861404549015358
69,4,15500,0,0.04639801533169145,0,-1.4382565566911716,0.10594552696081087,-0.5265055715163071
72,3,16800,1,0.675483194717047,1,0.36372171414358806,0.610475567790861,0.4271690065621527
69,3,11500,0,1.789761318265801,1,-1.594950319372455,0.610475567790861,0.4271690065621527
56,3,12100,0,1.116947266148406,0,0.36372171414358806,-0.00848396683569553,-0.5265055715163071
56,3,12700,0,0.12734581567652417,1,-1.9083378447350219,1.0785962242311138,-0.20861404549015358
